reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
3bc9c8a3-5c45-4a42-8baf-eb10617e94aa,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game nya menyenangkan cuma kikir sedikit. DAWG🥀😭🥺,1,0,6.4.0_42040338_42314721,2026-03-04 15:08:16,,,6.4.0_42040338_42314721
7a14e6a7-d2c1-40c3-bd7d-0b6a33d53dd3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Game kikir pelit, udah tau meta sering berubah minimal kalo ada karakter penting di patch nya sesuain lah karakter nya mana susah dapet nya harus gacha Primogem seret setiap hari di paksa login kalo engga login rugi, mana resin seret cuma di 200 farming material harus nunggu hari char b5 gratis jarang-jarang farming arte susah",1,0,6.4.0_42040338_42314721,2026-03-04 14:55:06,,,6.4.0_42040338_42314721
cacdc1c5-562b-40d2-8740-5018c5168284,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"game ny udh bagus dri grafik dan story,saya ingin genshin impact menyediakan karakter yg menggunakan senjata gauntlet",4,0,,2026-03-04 14:38:52,,,
4e2b290c-2aa5-4679-b913-ab53cdc7e30b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,5,0,6.4.0_42040338_42314721,2026-03-04 14:02:38,,,6.4.0_42040338_42314721
748b7fbf-dd01-41da-aad2-93446b6145f5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,geme petualangan yg seru apalagi bisa bertarung dengan monster monster yg kuat,5,0,6.4.0_42040338_42314721,2026-03-04 12:25:52,,,6.4.0_42040338_42314721
4a2a1a12-73ca-4595-aac7-5687c37f49b5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,please genshin i need escoffier and linnea 😭😭😭,5,4,6.4.0_42040338_42314721,2026-03-04 11:52:29,,,6.4.0_42040338_42314721
85672e89-6dac-4410-9f98-92f92fcfe77c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat kerenn,5,0,6.4.0_42040338_42314721,2026-03-04 10:18:50,,,6.4.0_42040338_42314721
37a39e67-48a7-41e1-92a9-d50c9eba234e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,seru,4,0,,2026-03-04 09:20:08,,,
bc707366-d63e-46f6-a14c-bf108a644f0c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game kikir bansos dikit ga ada pity dan paling parah ga ada fitur skip males dengerin yapping gua,1,0,,2026-03-04 08:36:27,,,
ff03a847-4e66-49f6-a778-43858051a3ad,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ini game bgs bgt gk ngebosenin, kalo banyak yapping ya tinggal di skip lah, orang seru kok",5,0,6.4.0_42040338_42314721,2026-03-04 08:27:38,,,6.4.0_42040338_42314721
